Cat,Single measure core date,reviewed,Modality,no,Item,Description,ItemType,Required,Values,AMP_PD_item,conversion,Comment
2,0,,SCOPA-AUT,25,scopa_aut23at_sex_medication_text,SCOPA-AUT item 23a ED Med,string,nullable,,,,
2,0,,SCOPA-AUT,26,scopa_aut24_sex_dry,SCOPA-AUT item 24,string,nullable,"['never', 'sometimes', 'regularly', 'often', 'not applicable']",,,
2,0,,SCOPA-AUT,27,scopa_aut25_sex_difficulty_orgasm,SCOPA-AUT item 25,string,nullable,"['never', 'sometimes', 'regularly', 'often', 'not applicable']",,,
2,0,,SCOPA-AUT,28,scopa_aut26a_constipation_med,SCOPA-AUT item 26a,string,nullable,"['no', 'yes', 'unknown']",,,
2,0,,SCOPA-AUT,29,scopa_aut26at_constipation_med_text,SCOPA-AUT item 26a med,string,nullable,,,,
2,0,,SCOPA-AUT,30,scopa_aut26b_urine_med,SCOPA-AUT item 26b,string,nullable,"['no', 'yes', 'unknown']",,,
2,0,,SCOPA-AUT,31,scopa_aut26bt_urine_med_text,SCOPA-AUT item 26b med,string,nullable,,,,
2,0,,SCOPA-AUT,32,scopa_aut26c_blood_pressure_med,SCOPA-AUT item 26c,string,nullable,"['no', 'yes', 'unknown']",,,
2,0,,SCOPA-AUT,33,scopa_aut26ct_blood_pressure_med_text,SCOPA-AUT item 26c med,string,nullable,,,,
2,0,,SCOPA-AUT,34,scopa_aut26d_other_med,SCOPA-AUT item 26d,string,nullable,"['no', 'yes', 'unknown']",,,
2,0,,SCOPA-AUT,35,scopa_aut26dt_other_med_text,SCOPA-AUT item 26d med,string,nullable,,,,
added,0,,SCOPA-COG,1,scopa_cog1_verbal_recall,SCOPA-COG item 1,integer,nullable,"y.isin([0,1,2,3,4,5])",,,
added,0,,SCOPA-COG,2,scopa_cog2_digit_span_backward,SCOPA-COG item 2,integer,nullable,"y.isin([0,1,2,3,4,5,6,7])",,,
added,0,,SCOPA-COG,3,scopa_cog3_cube,SCOPA-COG item 3,integer,nullable,"y.isin([0,1,2,3,4,5])",,,
added,0,,SCOPA-COG,4,scopa_cog4_count_backwards,SCOPA-COG item 4,integer,nullable,"y.isin([0,1,2])",,,
added,0,,SCOPA-COG,5,scopa_cog5_months_backward,SCOPA-COG item 5,integer,nullable,"y.isin([0,1,2])",,,
added,0,,SCOPA-COG,6,scopa_cog6_fist_edge_palm,SCOPA-COG item 6,integer,nullable,"y.isin([0,1,2,3])",,,
added,0,,SCOPA-COG,7,scopa_cog7_semantic_fluency,SCOPA-COG item 7,integer,nullable,"y.isin([0,1,2,3,4,5,6])",,,
added,0,,SCOPA-COG,8,scopa_cog8_dice,SCOPA-COG item 8,integer,nullable,"y.isin([0,1,2,3])",,,
added,0,,SCOPA-COG,9,scopa_cog9_assembling_figures,SCOPA-COG item 9,integer,nullable,"y.isin([0,1,2,3,4,5])",,,
added,0,,SCOPA-COG,10,scopa_cog10_delayed_recall,SCOPA-COG item 10,integer,nullable,"y.isin([0,1,2,3,4,5])",,,
added,0,,SCOPA-COG,15,scopa_cog_total_score,SCOPA-COG Total Score,integer,nullable,(y>=0) & (y<=43),,,
2,0,,RBD Screening Questionnaire,1,rbd_info_source,RBD Source Of Information,string,nullable,,code_rbd_info_source,identical,
2,0,,RBD Screening Questionnaire,2,code_rbd01_vivid_dreams,"RBD 01. Vivid Dreams {1:yes, 0:no, null:unknown}",integer,nullable,"y.isin([0,1])",code_rbd01_vivid_dreams,identical,
2,0,,RBD Screening Questionnaire,3,code_rbd02_aggressive_or_action_packed_dreams,"RBD 02. Aggressive Or Action-Packed Dreams {1:yes, 0:no, null:unknown}",integer,nullable,"y.isin([0,1])",code_rbd02_aggressive_or_action_packed_dreams,identical,
2,0,,RBD Screening Questionnaire,4,code_rbd03_nocturnal_behaviour,"RBD 03. Nocturnal Behaviour {1:yes, 0:no, null:unknown}",integer,nullable,"y.isin([0,1])",code_rbd03_nocturnal_behaviour,identical,
2,0,,RBD Screening Questionnaire,5,code_rbd04_move_arms_legs_during_sleep,"RBD 04. Move Arms and Legs During Sleep {1:yes, 0:no, null:unknown}",integer,nullable,"y.isin([0,1])",code_rbd04_move_arms_legs_during_sleep,identical,
2,0,,RBD Screening Questionnaire,6,code_rbd05_hurt_bed_partner,"RBD 05. Hurt Bed Partner {1:yes, 0:no, null:unknown}",integer,nullable,"y.isin([0,1])",code_rbd05_hurt_bed_partner,identical,
2,0,,RBD Screening Questionnaire,7,code_rbd06_1_speaking_in_sleep,"RBD 06.1 Speaking In Sleep {1:yes, 0:no, null:unknown}",integer,nullable,"y.isin([0,1])",code_rbd06_1_speaking_in_sleep,identical,
2,0,,RBD Screening Questionnaire,8,code_rbd06_2_sudden_limb_movements,"RBD 06.2 Sudden Limb Movements {1:yes, 0:no, null:unknown}",integer,nullable,"y.isin([0,1])",code_rbd06_2_sudden_limb_movements,identical,
2,0,,RBD Screening Questionnaire,9,code_rbd06_3_complex_movements,"RBD 06.3 Complex Movements {1:yes, 0:no, null:unknown}",integer,nullable,"y.isin([0,1])",code_rbd06_3_complex_movements,identical,
2,0,,RBD Screening Questionnaire,10,code_rbd06_4_things_fell_down,"RBD 06.4 Things Fell Down {1:yes, 0:no, null:unknown}",integer,nullable,"y.isin([0,1])",code_rbd06_4_things_fell_down,identical,
2,0,,RBD Screening Questionnaire,11,code_rbd07_my_movements_awake_me,"RBD 07. My Movements Awake Me {1:yes, 0:no, null:unknown}",integer,nullable,"y.isin([0,1])",code_rbd07_my_movements_awake_me,identical,
2,0,,RBD Screening Questionnaire,12,code_rbd08_remember_dreams,"RBD 08. Remember Dreams {1:yes, 0:no, null:unknown}",integer,nullable,"y.isin([0,1])",code_rbd08_remember_dreams,identical,
2,0,,RBD Screening Questionnaire,13,code_rbd09_sleep_is_disturbed,"RBD 09. Sleep Is Disturbed {1:yes, 0:no, null:unknown}",integer,nullable,"y.isin([0,1])",code_rbd09_sleep_is_disturbed,identical,
2,0,,RBD Screening Questionnaire,14,code_rbd10a_stroke,"RBD 10a Stroke {1:yes, 0:no, null:unknown}",integer,nullable,"y.isin([0,1])",code_rbd10a_stroke,identical,
2,0,,RBD Screening Questionnaire,15,code_rbd10b_head_trauma,"RBD 10b Head Trauma {1:yes, 0:no, null:unknown}",integer,nullable,"y.isin([0,1])",code_rbd10b_head_trauma,identical,
2,0,,RBD Screening Questionnaire,16,code_rbd10c_parkinsonism,"RBD 10c Parkinsonism {1:yes, 0:no, null:unknown}",integer,nullable,"y.isin([0,1])",code_rbd10c_parkinsonism,identical,
2,0,,RBD Screening Questionnaire,17,code_rbd10d_rls,"RBD 10d RLS {1:yes, 0:no, null:unknown}",integer,nullable,"y.isin([0,1])",code_rbd10d_rls,identical,
2,0,,RBD Screening Questionnaire,18,code_rbd10e_narcolepsy,"RBD 10e Narcolepsy {1:yes, 0:no, null:unknown}",integer,nullable,"y.isin([0,1])",code_rbd10e_narcolepsy,identical,
2,0,,RBD Screening Questionnaire,19,code_rbd10f_depression,"RBD 10f Depression {1:yes, 0:no, null:unknown}",integer,nullable,"y.isin([0,1])",code_rbd10f_depression,identical,
2,0,,RBD Screening Questionnaire,20,code_rbd10g_epilepsy,"RBD 10g Epilepsy {1:yes, 0:no, null:unknown}",integer,nullable,"y.isin([0,1])",code_rbd10g_epilepsy,identical,
2,0,,RBD Screening Questionnaire,21,code_rbd10h_brain_inflammatory_disease,"RBD 10h Inflammatory Disease Of The Brain {1:yes, 0:no, null:unknown}",integer,nullable,"y.isin([0,1])",code_rbd10h_brain_inflammatory_disease,identical,
2,0,,RBD Screening Questionnaire,22,code_rbd10i_other,"RBD 10i Other {1:yes, 0:no, null:unknown}",integer,nullable,"y.isin([0,1])",code_rbd10i_other,identical,
add,0,,RBD Screening Questionnaire,23,code_rbd10i_other_comment,RBD 10i Other (comment),string,nullable,,,,
2,0,,RBD Screening Questionnaire,24,code_rbd10_nervous_system_disease,"RBD 10. Nervous system Disease {1:yes, 0:no, null:unknown}",integer,nullable,"y.isin([0,1])",code_rbd10_nervous_system_disease,identical,
2,0,,RBD Screening Questionnaire,25,rbd_summary_score,RBD Summary Score,integer,nullable,(y>=0) & (y<=13),rbd_summary_score,identical,
added,0,,RBD Single-Question Screen ,1,rbd1q,A single question measure screening for REM sleep behavior disorder,string,nullable,"['No', 'Yes', 'Unknown']",,,
3,0,,Epworth Sleepiness Scale,1,ess_info_source,ESS Source Of Information,string,nullable,,ess_info_source,identical,
3,0,,Epworth Sleepiness Scale,2,code_ess0101_sitting_and_reading,"ESS - Sitting And Reading (ESS0101) {0:""would never doze or sleep"", 1:""slight chance of dozing or sleeping"", 2:""moderate chance of dozing or sleeping"", 3:""high chance of dozing or sleeping""}",integer,nullable,"y.isin([0,1,2,3])",code_ess0101_sitting_and_reading,identical,
3,0,,Epworth Sleepiness Scale,3,code_ess0102_watching_tv,"ESS - Watching TV (ESS0102) {0:""would never doze or sleep"", 1:""slight chance of dozing or sleeping"", 2:""moderate chance of dozing or sleeping"", 3:""high chance of dozing or sleeping""}",integer,nullable,"y.isin([0,1,2,3])",code_ess0102_watching_tv,identical,
3,0,,Epworth Sleepiness Scale,4,code_ess0103_sitting_inactive_in_public_place,"ESS - Sitting, Inactive In A Public Place (ESS0103) {0:""would never doze or sleep"", 1:""slight chance of dozing or sleeping"", 2:""moderate chance of dozing or sleeping"", 3:""high chance of dozing or sleeping""}",integer,nullable,"y.isin([0,1,2,3])",code_ess0103_sitting_inactive_in_public_place,identical,
3,0,,Epworth Sleepiness Scale,5,code_ess0104_passenger_in_car_for_hour,"ESS - As A Passenger In A Car For An Hour Without A Break (ESS0104) {0:""would never doze or sleep"", 1:""slight chance of dozing or sleeping"", 2:""moderate chance of dozing or sleeping"", 3:""high chance of dozing or sleeping""}",integer,nullable,"y.isin([0,1,2,3])",code_ess0104_passenger_in_car_for_hour,identical,
3,0,,Epworth Sleepiness Scale,6,code_ess0105_lying_down_to_rest_in_afternoon,"ESS - Lying Down To Rest In The Afternoon When Circumstances Permit (ESS0105) {0:""would never doze or sleep"", 1:""slight chance of dozing or sleeping"", 2:""moderate chance of dozing or sleeping"", 3:""high chance of dozing or sleeping""}",integer,nullable,"y.isin([0,1,2,3])",code_ess0105_lying_down_to_rest_in_afternoon,identical,
3,0,,Epworth Sleepiness Scale,7,code_ess0106_sitting_and_talking_to_someone,"ESS - Sitting And Talking To Someone (ESS0106) {0:""would never doze or sleep"", 1:""slight chance of dozing or sleeping"", 2:""moderate chance of dozing or sleeping"", 3:""high chance of dozing or sleeping""}",integer,nullable,"y.isin([0,1,2,3])",code_ess0106_sitting_and_talking_to_someone,identical,
3,0,,Epworth Sleepiness Scale,8,code_ess0107_sitting_after_lunch,"ESS - Sitting Quietly After A Lunch Without Alcohol (ESS0107) {0:""would never doze or sleep"", 1:""slight chance of dozing or sleeping"", 2:""moderate chance of dozing or sleeping"", 3:""high chance of dozing or sleeping""}",integer,nullable,"y.isin([0,1,2,3])",code_ess0107_sitting_after_lunch,identical,
3,0,,Epworth Sleepiness Scale,9,code_ess0108_car_stopped_in_traffic,"ESS - In A Car, While Stopped For A Few Minutes In The Traffic (ESS0108) {0:""would never doze or sleep"", 1:""slight chance of dozing or sleeping"", 2:""moderate chance of dozing or sleeping"", 3:""high chance of dozing or sleeping""}",integer,nullable,"y.isin([0,1,2,3])",code_ess0108_car_stopped_in_traffic,identical,
added,0,,Epworth Sleepiness Scale,,ess_total_score,ESS - Total score,integer,nullable,(y>=0) & (y<=24),,,
changed,0,,Geriatric Depression Scale: Short Form,1,code_gds01_satisfied_with_life,"GDS15 - Are you basically satisfied with your life?  {""yes"":0, ""no"":1}",integer,nullable,"y.isin([0,1])",,,
changed,0,,Geriatric Depression Scale: Short Form,2,code_gds02_drop_interests,"GDS15 - Have you dropped many of your activities and interests?  {""yes"":1, ""no"":0}",integer,nullable,"y.isin([0,1])",,,
changed,0,,Geriatric Depression Scale: Short Form,3,code_gds03_empty,"GDS15 - Do you feel that your life is empty?   {""yes"":1, ""no"":0}",integer,nullable,"y.isin([0,1])",,,
changed,0,,Geriatric Depression Scale: Short Form,4,code_gds04_bored,"GDS15 - Do you often get bored?  {""yes"":1, ""no"":0}",integer,nullable,"y.isin([0,1])",,,
changed,0,,Geriatric Depression Scale: Short Form,5,code_gds05_good_spirits,"GDS15 - Are you in good spirits most of the time?  {""yes"":0, ""no"":1}",integer,nullable,"y.isin([0,1])",,,
changed,0,,Geriatric Depression Scale: Short Form,6,code_gds06_afraid,"GDS15 - Are you afraid that something bad is going to happen to you?   {""yes"":1, ""no"":0}",integer,nullable,"y.isin([0,1])",,,
changed,0,,Geriatric Depression Scale: Short Form,7,code_gds07_happy,"GDS15 - Do you feel happy most of the time?  {""yes"":0, ""no"":1}",integer,nullable,"y.isin([0,1])",,,
changed,0,,Geriatric Depression Scale: Short Form,8,code_gds08_helpless,"GDS15 - Do you often feel helpless?  {""yes"":1, ""no"":0}",integer,nullable,"y.isin([0,1])",,,
changed,0,,Geriatric Depression Scale: Short Form,9,code_gds09_home_than_going_out,"GDS15 - Do you prefer to stay at home, rather than going out and doing new things?   {""yes"":1, ""no"":0}",integer,nullable,"y.isin([0,1])",,,
changed,0,,Geriatric Depression Scale: Short Form,10,code_gds10_memory_problems,"GDS15 - Do you feel you have more problems with memory than most people?   {""yes"":1, ""no"":0}",integer,nullable,"y.isin([0,1])",,,
changed,0,,Geriatric Depression Scale: Short Form,11,code_gds11_wonderful_to_be_alive,"GDS15 - Do you think it is wonderful to be alive?  {""yes"":0, ""no"":1}",integer,nullable,"y.isin([0,1])",,,
changed,0,,Geriatric Depression Scale: Short Form,12,code_gds12_worthless,"GDS15 - Do you feel pretty worthless the way you are now?  {""yes"":1, ""no"":0}",integer,nullable,"y.isin([0,1])",,,
changed,0,,Geriatric Depression Scale: Short Form,13,code_gds13_full_of_energy,"GDS15 - Do you feel full of energy?  {""yes"":0, ""no"":1}",integer,nullable,"y.isin([0,1])",,,
changed,0,,Geriatric Depression Scale: Short Form,14,code_gds14_hopless,"GDS15 - Do you feel that your situation is hopeless?   {""yes"":1, ""no"":0}",integer,nullable,"y.isin([0,1])",,,
changed,0,,Geriatric Depression Scale: Short Form,15,code_gds15_not_better_off,"GDS15 - Do you think that most people are better off than you?   {""yes"":1, ""no"":0}",integer,nullable,"y.isin([0,1])",,,
3,0,,Geriatric Depression Scale: Short Form,16,gds15_total_score,GDS 15 - Total score,integer,nullable,(y>=0) & (y<=15),,,
3,0,,Orthostatic hypotension,1,sbp_standing,Systolic blood pressure at standing position,numeric,nullable,(y>=0) & (y<=300),,,
3,0,,Orthostatic hypotension,2,dbp_standing,Diastolic blood pressure at standing position,numeric,nullable,(y>=0) & (y<=300),,,
3,0,,Orthostatic hypotension,3,hr_standing,Heart rate at standing position,numeric,nullable,(y>=0) & (y<=200),,,
3,0,,Orthostatic hypotension,4,sbp_supine,Systolic blood pressure at supine position,numeric,nullable,(y>=0) & (y<=300),,,
3,0,,Orthostatic hypotension,5,dbp_supine,Diastolic blood pressure at supine position,numeric,nullable,(y>=0) & (y<=300),,,
3,0,,Orthostatic hypotension,6,hr_supine,Heart rate at supine position,numeric,nullable,(y>=0) & (y<=200),,,
3,0,,Orthostatic hypotension,7,sbp_sitting,Systolic blood pressure at sitting position,numeric,nullable,(y>=0) & (y<=300),,,
3,0,,Orthostatic hypotension,8,dbp_sitting,Diastolic blood pressure at sitting position,numeric,nullable,(y>=0) & (y<=300),,,
3,0,,Orthostatic hypotension,9,hr_sitting,Heart rate at sitting position,numeric,nullable,(y>=0) & (y<=200),,,
ChangeName (remove mod),0,,Schwab England ADL,1,schwab_england_pct_adl_score,Schwab And England Percent ADL Score,numeric,nullable,(y>=0) & (y<=100),,,
3,0,,Olfactory test,1,smell_test_results,"Anosmia, hyposmia, norsomnia based on the age and sex standardized cut-off",string,nullable,"[""Anosmia"", ""Hyposmia"", ""Normosmia""]",,,
3,0,,Olfactory test,2,smell_test_name,"Name of the used smell test (e.g. sniffin-stick, bsit, upsit)",string,nullable,,,,
3,0,,Olfactory test,3,smell_test_score,Score of the smell test,numeric,nullable,(y>=0) & (y<=9999),,,
added ,0,,Misc Depression Scale,1,is_depressed,Does the patient have depression based on the cut-off score of the scale used?,string,nullable,"[""Yes"",""No"",""Unknown""]",,,
,0,,Misc Depression Scale,2,depress_test_name,"Test used for depression screening e.g. GDS15, HDRS, BDI, PHQ9 (DPUK),GHQ ",string,nullable,,,,
added ,0,,Misc Depression Scale,3,depress_test_score,Total score on the depression scale used,numeric,nullable,(y>=0) & (y<=100),,,
del?,0,,PDQ-39,1,pdq39_01_doing_leisure_activity,PDQ-39-Q1: Had difficulty doing the leisure activities you would like to do?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",pdq39_01_doing_leisure_activity,identical,
del?,0,,PDQ-39,2,pdq39_02_looking_after_home,"PDQ-39-Q2: Had difficulty looking after your home, for example, housework, cooking or yardwork?",string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",pdq39_02_looking_after_home,identical,
del?,0,,PDQ-39,3,pdq39_03_carrying_shopping_bags,PDQ-39-Q3: Had difficulty carrying grocery bags?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",pdq39_03_carrying_shopping_bags,identical,
del?,0,,PDQ-39,4,pdq39_04_walking_half_mile,PDQ-39-Q4: Had problems walking half a mile?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",pdq39_04_walking_half_mile,identical,
del?,0,,PDQ-39,5,pdq39_05_walking_100_yards,PDQ-39-Q5: Had problems walking 100 yards (approximately 1 block)?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",pdq39_05_walking_100_yards,identical,
del?,0,,PDQ-39,6,pdq39_06_getting_around_house,PDQ-39-Q6: Had problems getting around the house as easily as you would like?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",pdq39_06_getting_around_house,identical,
del?,0,,PDQ-39,7,pdq39_07_getting_around_in_public,PDQ-39-Q7: Had difficulty getting around in public places?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",pdq39_07_getting_around_in_public,identical,
del?,0,,PDQ-39,8,pdq39_08_need_someone_to_accompany,PDQ-39-Q8: Needed someone else to accompany you when you went out?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",pdq39_08_need_someone_to_accompany,identical,
del?,0,,PDQ-39,9,pdq39_09_worried_about_falling,PDQ-39-Q9: Felt frightened or worried about falling in public?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",pdq39_09_worried_about_falling,identical,
del?,0,,PDQ-39,10,pdq39_10_confined_to_house,PDQ-39-Q10: Been confined to the house more than you would like?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",pdq39_10_confined_to_house,identical,
del?,0,,PDQ-39,11,pdq39_11_showering,PDQ-39-Q11: Had difficulty showering and bathing?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",pdq39_11_showering,identical,
del?,0,,PDQ-39,12,pdq39_12_dressing,PDQ-39-Q12: Had difficulty dressing?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",pdq39_12_dressing,identical,
del?,0,,PDQ-39,13,pdq39_13_buttons_and_shoelaces,PDQ-39-Q13: Had difficulty with buttons or shoelaces?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",pdq39_13_buttons_and_shoelaces,identical,
del?,0,,PDQ-39,14,pdq39_14_writing,PDQ-39-Q14: Had problems writing clearly?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",pdq39_14_writing,identical,
del?,0,,PDQ-39,15,pdq39_15_cutting_food,PDQ-39-Q15: Had difficulty cutting up your food?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",pdq39_15_cutting_food,identical,
del?,0,,PDQ-39,16,pdq39_16_spill_drink,PDQ-39-Q16: Had difficulty holding a drink without spilling it?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",pdq39_16_spill_drink,identical,
del?,0,,PDQ-39,17,pdq39_17_depressed,PDQ-39-Q17: Felt depressed?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",pdq39_17_depressed,identical,
del?,0,,PDQ-39,18,pdq39_18_lonely,PDQ-39-Q18: Felt isolated and lonely?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",pdq39_18_lonely,identical,
del?,0,,PDQ-39,19,pdq39_19_weepy,PDQ-39-Q19: Felt weepy or tearful?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",pdq39_19_weepy,identical,
del?,0,,PDQ-39,20,pdq39_20_angry,PDQ-39-Q20: Felt angry or bitter?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",pdq39_20_angry,identical,
del?,0,,PDQ-39,21,pdq39_21_anxious,PDQ-39-Q21: Felt anxious?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",pdq39_21_anxious,identical,
del?,0,,PDQ-39,22,pdq39_22_worried_about_future,PDQ-39-Q22: Felt worried about your future?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",pdq39_22_worried_about_future,identical,
del?,0,,PDQ-39,23,pdq39_23_hide_pd_from_people,PDQ-39-Q23: Felt you had to hide your Parkinson's from people?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",pdq39_23_hide_pd_from_people,identical,
del?,0,,PDQ-39,24,pdq39_24_avoid_eat_drink_in_public,PDQ-39-Q24: Avoided situations which involve eating or drinking in public?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",pdq39_24_avoid_eat_drink_in_public,identical,
del?,0,,PDQ-39,25,pdq39_25_embarassed_in_public,PDQ-39-Q25: Felt embarrassed in public?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",pdq39_25_embarassed_in_public,identical,
del?,0,,PDQ-39,26,pdq39_26_worried_about_reactions,PDQ-39-Q26: Felt worried about other people's reaction to you?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",pdq39_26_worried_about_reactions,identical,
del?,0,,PDQ-39,27,pdq39_27_close_personal_relations,PDQ-39-Q27: Had problems with your close personal relationships?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",pdq39_27_close_personal_relations,identical,
del?,0,,PDQ-39,28,pdq39_28_support_from_spouse,PDQ-39-Q28: Lacked the support you needed from your spouse or partner?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all"", ""No spouse or partner""]",pdq39_28_support_from_spouse,identical,
del?,0,,PDQ-39,29,pdq39_29_support_from_family,PDQ-39-Q29: Lacked the support you needed from your family or close friends?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",pdq39_29_support_from_family,identical,
del?,0,,PDQ-39,30,pdq39_30_sleep_in_day,PDQ-39-Q30: Unexpectedly fallen asleep during the day?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",pdq39_30_sleep_in_day,identical,
del?,0,,PDQ-39,31,pdq39_31_problem_with_concentration,"PDQ-39-Q31: Had problems with your concentration, for example when reading or watching TV?",string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",pdq39_31_problem_with_concentration,identical,
del?,0,,PDQ-39,32,pdq39_32_memory_is_failing,PDQ-39-Q32: Felt your memory was failing?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",pdq39_32_memory_is_failing,identical,
del?,0,,PDQ-39,33,pdq39_33_hallucinations,PDQ-39-Q33: Had distressing dreams or hallucinations?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",pdq39_33_hallucinations,identical,
del?,0,,PDQ-39,34,pdq39_34_speaking,PDQ-39-Q34: Had difficulty speaking?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",pdq39_34_speaking,identical,
del?,0,,PDQ-39,35,pdq39_35_unable_to_communicate,PDQ-39-Q35: Felt unable to communicate effectively?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",pdq39_35_unable_to_communicate,identical,
del?,0,,PDQ-39,36,pdq39_36_felt_ignored,PDQ-39-Q36: Felt ignored by people?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",pdq39_36_felt_ignored,identical,
del?,0,,PDQ-39,37,pdq39_37_muscle_cramps,PDQ-39-Q37: Had painful muscle cramps or spasms?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",pdq39_37_muscle_cramps,identical,
del?,0,,PDQ-39,38,pdq39_38_joint_pains,PDQ-39-Q38: Had aches and pains in your joints or body?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",pdq39_38_joint_pains,identical,
del?,0,,PDQ-39,39,pdq39_39_hot_or_cold,PDQ-39-Q39: Felt uncomfortably hot or cold?,string,nullable,"[""Never"", ""Occasionally"", ""Sometimes"", ""Often"", ""Always or cannot do at all""]",pdq39_39_hot_or_cold,identical,
3,0,,PDQ-39,40,pdq39_mobility_score,PDQ-39-Total Score-Mobility (item 1-10),integer,nullable,(y>=0) & (y<=40),pdq39_mobility_score,identical,
3,0,,PDQ-39,41,pdq39_adl_score,"PDQ-39-Total Score-Activities Of Daily Living (ADL, item 11-16)",integer,nullable,(y>=0) & (y<=24),pdq39_adl_score,identical,
3,0,,PDQ-39,42,pdq39_emotional_score,"PDQ-39-Total Score-Emotional Well Being (item 17-22, max )",integer,nullable,(y>=0) & (y<=24),pdq39_emotional_score,identical,
3,0,,PDQ-39,43,pdq39_stigma_score,PDQ-39-Total Score-Stigma (item 23-26),integer,nullable,(y>=0) & (y<=16),pdq39_stigma_score,identical,
3,0,,PDQ-39,44,pdq39_social_score,PDQ-39-Total Score-Social Support (item 27-29),integer,nullable,(y>=0) & (y<=12),pdq39_social_score,identical,
3,0,,PDQ-39,45,pdq39_cognition_score,"PDQ-39-Total Score-Cognitive Impairment (Cognitions, item 30-33)",integer,nullable,(y>=0) & (y<=16),pdq39_cognition_score,identical,
3,0,,PDQ-39,46,pdq39_communication_score,PDQ-39-Total Score-Communication (item 34-36),integer,nullable,(y>=0) & (y<=12),pdq39_communication_score,identical,
3,0,,PDQ-39,47,pdq39_discomfort_score,PDQ-39-Total Score-Bodily Discomfort (item 37-39),integer,nullable,(y>=0) & (y<=12),pdq39_discomfort_score,identical,
added,0,,PDQ-8,1,pdq8_total_score,PDQ-8 (Short form of PDQ-39) Total Score,integer,nullable,(y>=0) & (y<=40),,,
